title,dev,date
Crash Team Rumble,Toys for Bob,"
2023 г. "
Cyberpunk 2077: Phantom Liberty,CD Projekt,
Ascend: Reborn,,
Ultima I: The First Age of Darkness,Sierra On-Line,
Ultima II: The Revenge of the Enchantress,Sierra On-Line,
Ultima III: Exodus,,
PERISH,,"
2 февраля 2023 г. "
Animaniacs: Ten Pin Alley,,
Animaniacs,Konami,
"Animaniacs: Lights, Camera, Action!",Warthog,"
4 августа 2005 г. "
Animaniacs: The Great Edgar Hunt,Warthog,"
27 мая 2005 г. "
Animaniacs: A Gigantic Adventure,SouthPeak Interactive,
Astyanax,Jaleco Entertainment,"
21 декабря 1989 г. "
B.O.B.,Electronic Arts,
Arabian Nights: Sabaku no Seirei-ō,,
Battle City,Namco,
Bahamut Lagoon,Square,
Tank Force,Namco,
Blaster Master: Enemy Below,,
Blaster Master: Blasting Again,Crave Entertainment,
Blaster Master 2,action,
Blaster Master Zero,Inti Creates,"
3 марта 2017 г. "
Tank Battalion,Namco,
Disney's Bonkers (Capcom),,
Blaster Master Boy,,
Blaster Master Zero 2,Inti Creates,"
20 марта 2019 г. "
Disney's Bonkers,Sega of America,
Nature,,
Blaster Master: Overdrive,Gaijinworks,
The Incredible Machine,Sierra On-Line,
The Adventures of Musashi Jr.,,
The Granstream Saga,THQ,
Robotrek,Enix,
ActRaiser 2,Ubi Soft,
ActRaiser,Square Enix,"
16 декабря 1990 г. "
The 7th Saga,Enix,
Adventure Island II,Hudson Soft,
Adventure Island,Hudson Soft,
Super Adventure Island,,"
11 января 1992 г. "
New Adventure Island,Now Production,"
26 июня 1992 г. "
Adventure Island 3,Hudson Soft,
Planet Laika,Enix,
Adventure Island: The Beginning,Hudson Soft,"
7 апреля 2009 г. "
Adventure Island IV,Hudson Soft,
Adventures of Lolo 2,HAL Laboratory,"
6 января 1990 г. "
Super Adventure Island II,Hudson Soft,
Adventures of Lolo 3,HAL Laboratory,
Adventures of Lolo,HAL Laboratory,
Aero the Acro-Bat,ZOO Digital Publishing,
Zero the Kamikaze Squirrel,,
Alex Kidd in the Enchanted Castle,SEGA,
Aero the Acro-Bat 2,,
Soul Blazer,Enix,
Star Wars: The Old Republic - Legacy of the Sith,BioWare Austin,"
15 февраля 2022 г. "
Star Wars Battlefront: Elite Squadron,Rebellion Developments,"
3 ноября 2009 г. "
Star Wars Battlefront: Mobile Squadrons,Mikoishi,"
2 апреля 2009 г. "
Star Wars Battlefront: Renegade Squadron,Rebellion Developments,"
9 октября 2007 г. "
Star Wars: The Clone Wars – Lightsaber Duels,Krome Studios,"
11 ноября 2008 г. "
Star Wars: Jedi Arena,Parker Brothers,
Star Wars: Droids,Mastertronic,
Star Wars Trilogy Arcade,SEGA,
Vader Immortal: A Star Wars VR Series,Disney Interactive Studios,
Star Wars: The Clone Wars – Jedi Alliance,LucasArts,"
11 ноября 2008 г. "
Millennium Conflict,PC,
Star Wars: Masters of Teräs Käsi,LucasArts,"
31 октября 1997 г. "
Star Wars: Demolition,Luxoflux,"
12 ноября 2000 г. "
Star Wars: Lethal Alliance,Ubisoft,
Star Wars: Flight of the Falcon,THQ,
Star Wars Battle Pod,Bandai Namco Games,"
8 октября 2014 г. "
Space Trucker (2023),,
Don't Fraud My Heart!,,"
5 января 2023 г. "
Cyra and the Beacon Path,,
Star Wars: The Old Republic - Onslaught,BioWare Austin,"
22 октября 2019 г. "
Relentless: Ranger,,"
16 января 2023 г. "
浮生箓2：九九行歌 Floating Life 2,,
MechWarrior 5: Mercenaries - Rise of Rasalhague,,"
26 января 2023 г. "
Lasting Solstice,,
Star Wars (1983),SEGA,
Occupy Mars: The Game,,"
январь 2023 г. "
Hohenheim: Skywards,,
Death Star Interceptor,,
Star Wars (1987),Namco,
Star Wars: Attack on the Death Star,Victor Entertainment,
Star Wars: The Empire Strikes Back (1985),,
Star Wars: The Empire Strikes Back (1992),Ubisoft,
Super Star Wars: Return of the Jedi,THQ,
Star Wars: The Empire Strikes Back (1982),Parker Brothers,
Star Wars (1991),Ubi Soft,
Super Star Wars: The Empire Strikes Back,,
Star Wars: Return of the Jedi,,
Star Wars Arcade,SEGA,
Star Wars: Episode I - Jedi Power Battles,LucasArts,"
4 апреля 2000 г. "
Star Wars: Jedi Starfighter,LucasArts,"
10 марта 2002 г. "
Star Wars: The New Droid Army,THQ,
Star Wars: Episode II – Attack of the Clones,THQ,
Star Wars: Episode I - Obi-Wan's Adventures,THQ,
Cafe Owner Simulator,RockGame S.A.,
Star Wars: The Empire Strikes Back (2007),THQ Wireless Inc.,
Divine Knockout,,"
6 декабря 2022 г. "
Swordship,,
Zombie Cure Lab,,"
7 декабря 2022 г. "
Goonya Monster,,
In Nightmare,,"
29 марта 2022 г. "
Age of Empires: Mythologies,THQ,
The Rumble Fish 2,,"
8 декабря 2022 г. "
Starcom: Unknown Space,"Wx3 Labs, LLC","
14 декабря 2022 г. "
Melatonin,Half Asleep,"
15 декабря 2022 г. "
RoboCop 2,,
Age of Mythology: Tale of the Dragon,Microsoft Game Studios,
RoboCop (1988),,
RoboCop Versus The Terminator,Virgin Interactive Entertainment,
RoboCop (2001),Mirage Interactive,
Paragon: The Overprime,,"
8 декабря 2022 г. "
Robocop 2D 2: Robocop vs Terminator,Park Productions,
Amnesia: The Bunker,Frictional Games,"
март 2023 г. "
OneShot,arcade,
Samurai Maiden,,"
8 декабря 2022 г. "
Predecessor,,"
1 декабря 2022 г. "
Munchkin Digital,Dire Wolf Digital,
Pathogenesis: Overcome,,
Nadir: A Grimdark Deckbuilder,Black Eye Games,
Spellbook Demonslayers,,
Teenage Mutant Ninja Turtles: Fall of the Foot Clan,Konami,
Teenage Mutant Ninja Turtles II: The Arcade Game,Konami,
Teenage Mutant Ninja Turtles (1989),Konami,
Teenage Mutant Ninja Turtles III: Radical Rescue,Konami,
Teenage Mutant Ninja Turtles: Manhattan Missions,Konami,
Teenage Mutant Ninja Turtles III: The Manhattan Project,Konami,
Teenage Mutant Ninja Turtles II: Back from the Sewers,Konami,
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,
Teenage Mutant Ninja Turtles: Smash-Up,Game Arts,"
22 сентября 2009 г. "
Teenage Mutant Ninja Turtles: Arcade Attack,Ubisoft Entertainment,
Age of Empires: The Age of Kings,Backbone Entertainment,"
14 февраля 2006 г. "
Teenage Mutant Ninja Turtles (2013),,"
22 октября 2013 г. "
Nickelodeon Kart Racers 3: Slime Speedway,Bamtang Games,"
14 октября 2022 г. "
Age of Empires II HD: The African Kingdoms,Microsoft,
Golden Axe II,SEGA,
Golden Axe: The Revenge of Death Adder,SEGA,
Teenage Mutant Ninja Turtles: The Hyperstone Heist,Konami,
Morkredd,Aspyr Media,
Space Wreck,,
Front Mission,Square Enix,"
24 февраля 1995 г. "
Golden Axe III,SEGA,
Cocoon,,"
2023 г. "
We Were Here Too,,"
2 февраля 2018 г. "
Teenage Mutant Ninja Turtles: Turtles In Time,Konami,
The Simpsons Game,Rebellion,"
30 октября 2007 г. "
Streets of Rage,SEGA,
Front Mission: Gun Hazard,,"
23 февраля 1996 г. "
Front Mission 2,,"
25 сентября 1997 г. "
Incredibox,So Far So Good,"
16 августа 2009 г. "
Front Mission Alternative,Square,"
18 декабря 1997 г. "
Front Mission 5: Scars of the War,Square Enix,"
29 декабря 2005 г. "
Lego Chess,LEGO Media,
Iris.Fall,NExT Studios,"
7 декабря 2018 г. "
Missile Command: Recharged,Atari,
MediEvil 2,Sony Computer Entertainment,
Adam's Venture: Episode 3 - Revelations,Iceberg Interactive,
Adam's Venture: Origins,Vertigo Games,"
1 апреля 2016 г. "
Perfect Dark Zero,Microsoft Game Studios,
Lode Runner,,
Machine Gun Fury,Reset Games Ltd,"
28 октября 2022 г. "
Perfect Dark (2000),Rare,"
28 августа 2000 г. "
Dead Cells: Fatal Falls,,"
26 января 2021 г. "
Dead Cells: Rise of the Giant,,"
28 марта 2019 г. "
BioShock 2: Minerva's Den,2K Marin,"
31 августа 2010 г. "
Pitfall II: Lost Caverns,Activision,
Pitfall!,Activision,
Super Pitfall,Activision,
Echo Night,From Software,
Pitfall: The Mayan Adventure,Activision,"
2 ноября 1994 г. "
Echo Night 2: The Lord of Nightmares,FromSoftware,
Echo Night: Beyond,FromSoftware,"
22 января 2004 г. "
Fighting Force,Eidos Interactive,
Super Contra,Konami,
Contra III: The Alien Wars,Konami,
The City of Lost Children,Psygnosis,
Contra,Konami,
Operation C,Konami,
Contra: Legacy of War,,
Grandia: Parallel Trippers,Hudson Soft,
Grandia III,Game Arts,"
4 августа 2005 г. "
Driver 76,Sumo Digital,"
8 мая 2007 г. "
Barrow Hill: The Dark Path,Shadow Tor Studios,"
22 сентября 2016 г. "
Melissa K. and the Heart of Gold,SDP Games,"
19 сентября 2014 г. "
House of Caravan,Rosebud Games,"
16 апреля 2015 г. "
The Uncertain: Last Quiet Day,,"
22 сентября 2016 г. "
Acaratus,,
Wispering Willows,Night Light Interactive,"
27 мая 2014 г. "
The Uncertain: Light At The End,,"
8 октября 2020 г. "
"About Love, Hate & The Other Ones 2",,
A Pixel Story,Rising Star Games,
A SECOND BEFORE US,,
A Wolf in Autumn,,
A Game of Thrones: The Board Game - Digital Edition,Dire Wolf Digital,"
6 октября 2020 г. "
A Long Way Down,Maple Whispering Limited,
404Sight,,
10 Miles To Safety,,"
21 октября 2020 г. "
0 Day Attack on Earth,,
1979 Revolution: Black Friday,,
Voyage,,"
19 февраля 2021 г. "
Lost Soul Aside,Sony Interactive Entertainment,
Rayman,Ubi Soft,
Trine 2: Goblin Menace,Frozenbyte,"
7 сентября 2012 г. "
Drawn: Trail of Shadows,Big Fish Games,
Tom Clancy’s Ghost Recon: Jungle Storm,Ubisoft,
Tom Clancy's Ghost Recon: Predator,Ubisoft,
Tom Clancy’s Ghost Recon Wii,Ubisoft,
Dangerous Dave in the Haunted Mansion,,
Tom Clancy’s Ghost Recon: Shadow Wars,Ubisoft,
Dangerous Dave: Dave Goes Nutz!,,
Nancy Drew Dossier: Resorting to Danger!,Her Interactive,"
25 августа 2009 г. "
Nancy Drew: The Shattered Medallion,Her Interactive,"
20 мая 2014 г. "
Nancy Drew: Sea of Darkness,Her Interactive,"
19 мая 2015 г. "
Nancy Drew: The Mystery of the Clue Bender Society,Majesco Entertainment,
Nancy Drew: Labyrinth of Lies,Her Interactive,"
14 октября 2014 г. "
Nancy Drew: The Deadly Secret of Olde World Park,Majesco Entertainment,
Nancy Drew: The Model Mysteries,THQ,
Quest Room: Hanon,,
Nancy Drew: The Hidden Staircase,THQ,
The Room VR: A Dark Matter,Fireproof Games,"
26 сентября 2019 г. "
The Room: Old Sins,Fireproof Games,"
18 января 2018 г. "
Brain Challenge,Ubisoft,
Легенды 4: Время пришло,Big Fish Games,
Hidden Mysteries: Salem Secrets,GameMill Entertainment,
Strange Cases: The Lighthouse Mystery,Big Fish Games,
Mystery Case Files: 13th Skull,Big Fish Games,
Drawn: Dark Flight,Big Fish Games,
Call of Duty: Roads to Victory,Activision,
Alien: Isolation - Last Survivor,Creative Assembly,"
14 октября 2014 г. "
Call of Duty: Black Ops — Zombies,Activision,
Call of Duty: World at War – Final Fronts,Activision,
Call of Duty: Black Ops: Declassified,Nihilistic Software,"
13 ноября 2012 г. "
Alien (1984),,
Call of Duty: World at War - Zombies,Treyarch,"
16 ноября 2009 г. "
Alien: Isolation - Crew Expendable,Creative Assembly,"
22 октября 2014 г. "
Aliens: The Computer Game (1987),,
Alien (1982),,
Aliens: Alien 2,Square,
Aliens: The Computer Game (1986),,
Alien 3,Amiga,
Predator 2,,
Alien 3: The Gun,SEGA,
Alien vs Predator,Activision,
Alien vs Predator (1994),Rebellion Developments,"
21 октября 1994 г. "
Aliens: Thanatos Encounter,THQ,
Metal Gear Solid Mobile,Ideaworks Game Studio,"
19 марта 2008 г. "
Silent Hill: Play Novel,Konami,
Silent Hill: Alchemilla,,"
3 апреля 2015 г. "
Silent Hill: The Escape,Konami,
Grand Theft Auto Advance,Digital Eclipse,"
26 октября 2004 г. "
Silent Hill: Orphan,Gamefederation AB,"
ноябрь 2007 г. "
Grand Theft Auto: London 1961,DMA Design,"
1 июля 1999 г. "
Grand Theft Auto: Liberty City Stories,Rockstar North,"
24 октября 2005 г. "
Metal Gear Solid: Portable Ops,Kojima Productions,"
5 декабря 2006 г. "
Grand Theft Auto: Vice City Stories,Rockstar North,"
31 октября 2006 г. "
Grand Theft Auto Online: The Doomsday Heist,Rockstar Games,
Grand Theft Auto Online: The Diamond Casino Heist,Rockstar Games,
Grand Theft Auto Online: After Hours,Rockstar Games,
Grand Theft Auto Online: The Cayo Perico Heist,Rockstar Games,
Grand Theft Auto Online: Los Santos Summer Special,Rockstar Games,
Grand Theft Auto Online: Los Santos Tuners,Rockstar Games,
Grand Theft Auto Online: The Criminal Enterprises,Rockstar Games,
Battles of Prince of Persia,Ubisoft,
Grand Theft Auto Online: The Contract,Rockstar Games,
Metal Gear Acid 2,Konami Digital Entertainment,
Spider-Man vs. The Kingpin,Acclaim Entertainment,
The Punisher (1990),,
The Amazing Spider-Man (игра 1990),,
The Amazing Spider-Man 2 (1992),,
The Amazing Spider-Man 3: Invasion of the Spider-Slayers,,
Spider-Man: Return of the Sinister Six,,
Spider-Man: The Animated Series,Acclaim Entertainment,
Venom/Spider-Man: Separation Anxiety,Acclaim Entertainment,
Spider-Man and the X-Men in Arcade's Revenge,Acclaim Entertainment,
The Amazing Spider-Man: Web of Fire,SEGA,
Spider-Man: Mysterio's Menace,Activision,
The Amazing Spider-Man: Lethal Foes,"Epoch Co., Ltd.",
Spider-Man 2: The Sinister Six,Activision,
Spider-Man: Toxic City,Gameloft,
Spider-Man: Battle for New York,Activision,
Ultimate Spider-Man: Total Mayhem,Gameloft,
Quake: Dimension of the Past,Bethesda Softworks,
Quake: Dimension of the Machine,Bethesda Softworks,
Soccer Story,,
Marvel's Spider-Man: The City That Never Sleeps,Insomniac Games,"
23 октября 2018 г. "
The Amazing Spider-Man (1990),Empire Interactive,
Quake II Mission Pack: The Reckoning,,"
30 мая 1998 г. "
Donkey Kong Jr.,Nintendo,
Donkey Kong ,Nintendo,
Donkey Kong 3,Nintendo,
Donkey Kong Country,Rare,"
18 ноября 1994 г. "
Donkey Kong Jr. Math,Nintendo,
Donkey Kong '94,Nintendo,
Donkey Kong Land 2,Nintendo,
Donkey Kong Country 2: Diddy's Kong Quest,Rare,"
21 ноября 1995 г. "
Donkey Kong Land,Nintendo,
Donkey Kong Land III,Nintendo,
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare,"
18 ноября 1996 г. "
Diddy Kong Racing,Nintendo,
Donkey Kong 64,Nintendo,
Donkey Kong Jungle Beat,Nintendo,
Donkey Konga,Nintendo,
Donkey Konga 2,Nintendo,
DK King of Swing,Nintendo,
DK Jungle Climber,Nintendo,
Mario vs. Donkey Kong: Minis March Again!,Nintendo,
Donkey Kong Barrel Blast,Nintendo,
Mario vs. Donkey Kong: Mini-Land Mayhem!,Nintendo,
Castlevania: Rondo of Blood,Konami,
Castlevania Legends,Konami,
Castlevania Chronicles,Konami,
Castlevania: Bloodlines,Konami,
Castlevania 64,Konami,
Castlevania: Harmony of Dissonance,Konami,"
6 июня 2002 г. "
Castlevania: Legacy of Darkness,Konami,
Super Castlevania IV,Konami,
Castlevania: Lament of Innocence,Konami,
Castlevania: Circle of the Moon,Konami,
Castlevania: Dawn of Sorrow,Konami,"
25 августа 2005 г. "
Castlevania: Curse of Darkness,Konami,
Castlevania: Order of Ecclesia,Konami,"
21 октября 2008 г. "
Silent Hill 2: Restless Dreams,Team Silent,"
20 декабря 2001 г. "
Heavy Rain: The Taxidermist,Sony Computer Entertainment,
Desperados III: Money for the Vultures - Part 2: Five Steps Ahead,,"
6 октября 2020 г. "
Kid Dracula,Konami,
Castlevania: Portrait of Ruin,Konami,"
16 ноября 2006 г. "
Castlevania: Grimoire of Souls,Konami,"
17 сентября 2021 г. "
Doom II RPG,id Software,"
23 ноября 2009 г. "
Doom: Sigil,,"
31 мая 2019 г. "
Hexen: Deathkings of the Dark Citadel,Raven Software,"
3 сентября 1996 г. "
Batman (1986),MSX,
V-Rally,Eden Studios,"
1 июля 1997 г. "
Batman: The Video Game,,
Desperados III: Money for the Vultures - Part 3: Once More With Feeling,,"
3 ноября 2020 г. "
Batman: The Caped Crusader,Amiga,
Batman: Return of the Joker,,
Batman Returns,Konami,
Batman & Robin,Acclaim Entertainment,
Batman: Chaos in Gotham,Ubi Soft,
Batman Forever: The Arcade Game,Acclaim Entertainment,
Batman: The Animated Series,Konami,
Batman (1990),Sun Corporation,
Batman: The Brave and the Bold – The Videogame,WayForward Technologies,"
7 сентября 2010 г. "
Batman Begins,EA Games,
Batman: Rise of Sin Tzu,Ubi Soft,
Test Drive,Electronic Arts,
Batman: Arkham Knight — A Flip of a Coin,Rocksteady Studios,"
24 ноября 2015 г. "
Doom Resurrection,Escalation Studios,"
26 июня 2009 г. "
Test Drive Off-Road 2 ,Accolade,
Test Drive Cycles,Infogrames,
Showdown Bandit,,
Syphon Filter: Logan's Shadow,Sony Computer Entertainment,
N,Metanet Software,"
16 мая 2005 г. "
Syphon Filter,,
Murder House,,
Mafia II: Jimmy’s Vendetta,2K Czech,"
7 сентября 2010 г. "
N+,SilverBirch Studios,"
20 февраля 2008 г. "
Mafia II: The Betrayal of Jimmy,2K Czech,"
24 августа 2010 г. "
Mafia II Mobile,Twistbox Entertainment Inc.,
"Mafia III: Faster, Baby!",2K Czech,"
28 марта 2017 г. "
Flashback: The Quest for Identity,Microïds,
Mafia II: Joe's Adventures,2K Czech,"
24 августа 2010 г. "
Boogerman: A Pick and Flick Adventure,Interplay Productions,
Spider-Man and Venom: Maximum Carnage,Acclaim Entertainment,
Children of Mana,Square Enix,"
2 марта 2006 г. "
Heroes of Mana,Square Enix,"
8 марта 2007 г. "
Mafia III: Sign of the Times,2K Czech,"
25 июля 2017 г. "
Dawn of Mana,Square Enix,"
21 декабря 2006 г. "
Trials of Mana (1995),Square,"
30 сентября 1995 г. "
Tomb Raider VR: Lara's Escape,Warner Bros. Games,"
20 февраля 2018 г. "
Dissidia 012 Final Fantasy,Square Enix,"
3 марта 2011 г. "
Indiana Jones and the Staff of Kings,Amaze Entertainment,"
9 июня 2009 г. "
Rise of Mana,Android,
Mafia III: Stones Unturned,2K Czech,"
30 мая 2017 г. "
Xenogears,,
Dissidia Duodecim Prologus Final Fantasy,PSP,
Foxhole,,"
28 сентября 2022 г. "
Tales of the Abyss,rpg,
Hitman Sniper: The Shadows,Square Enix Montréal,"
3 марта 2021 г. "
Hitman: Vegas,Eidos Interactive,
Wolfenstein 3D: Spear of Destiny,id Software,"
5 мая 1992 г. "
Beyond Castle Wolfenstein,,
Wolfenstein RPG,id Software,"
30 сентября 2008 г. "
Fallout: Brotherhood of Steel,Interplay Entertainment,
Clock Tower: The First Fear,Human Entertainment,
Clock Tower II: The Struggle Within,Agetec,
Fallout 4: Vault-Tec Workshop,Bethesda Softworks,
Parasite Eve,Square,"
29 марта 1998 г. "
Raiders of the Lost Ark,,
Commander Keen in Keen Dreams,id Software,"
1991 г. "
Indiana Jones in the Lost Kingdom,C64,
Castle Wolfenstein,,
Indiana Jones and the Fate of Atlantis,,
Indiana Jones in Revenge of the Ancients,Apple II,
Evil Maze,,
Rhythm Doctor,,"
26 февраля 2021 г. "
Monster of the Deep: Final Fantasy XV,Square Enix,"
21 ноября 2017 г. "
COLINA: Legacy,,"
13 сентября 2018 г. "
Final Fantasy XV: Episode Prompto,Square Enix,"
27 июня 2017 г. "
Final Fantasy XV: A New Empire,"Machine Zone, Inc.","
31 марта 2017 г. "
Final Fantasy XV: Episode Ardyn,Square Enix,"
26 марта 2019 г. "
Crisis Core: Final Fantasy VII,Square Enix,"
13 сентября 2007 г. "
Final Fantasy XII: Revenant Wings,Square Enix,
Platinum Demo — Final Fantasy XV,Square Enix,
Midnight Club: Street Racing,Rockstar Games,
Final Fantasy Tactics A2: Grimoire of the Rift,Square Enix,"
25 октября 2007 г. "
Final Fantasy Tactics,SquareSoft,"
20 июня 1997 г. "
Before Crisis: Final Fantasy VII,Square Enix,"
24 сентября 2004 г. "
Final Fantasy Crystal Chronicles: My Life as a King,Square Enix,"
25 мая 2008 г. "
The Coma: Cutting Class,,
Final Fantasy Crystal Chronicles: Echoes of Time,Square Enix,"
29 января 2009 г. "
The Final Fantasy Legend,Square,
Final Fantasy Adventure,Square,"
28 июня 1991 г. "
Final Fantasy Crystal Chronicles: My Life as a Darklord,Square Enix,"
30 июня 2009 г. "
Final Fantasy Legend II,Square,
Final Fantasy Crystal Chronicles: Ring of Fates,Square Enix,"
23 августа 2007 г. "
The Elder Scrolls Travels: Dawnstar,Vir2L Studios,
The Elder Scrolls Travels: Stormhold,Vir2L Studios,
The Elder Scrolls Travels: Shadowkey,Bethesda Softworks,
Cygnus,action,
Aska,,
Final Fantasy Crystal Chronicles: The Crystal Bearers,Square Enix,"
12 ноября 2009 г. "
The Elder Scrolls Online: Thieves Guild,ZeniMax Online Studios,"
7 марта 2016 г. "
The Elder Scrolls Online: Dark Brotherhood,ZeniMax Online Studios,"
31 мая 2016 г. "
The Elder Scrolls Online: Murkmire,ZeniMax Online Studios,"
22 октября 2018 г. "
The Elder Scrolls Online: Shadows of the Hist,ZeniMax Online Studios,"
1 августа 2016 г. "
